time	worker-0	worker-1	worker-2	worker-3	worker-4	worker-5
0	0.004251048	0.002108064	0.1212983	0.001966912	0.00254406	0.001149348
5	0.297137417	0.229888435	0.1212983	0.246716585	0.002695195	0.215785859
10	0.297137417	0.229888435	0.467191527	0.246716585	0.002695195	0.27147656
15	0.297137417	0.314458637	0.467191527	0.418820002	0.004068974	0.442270949
20	0.670866101	0.496663117	0.467191527	0.519495422	0.0049781	0.581470546
25	0.670866101	0.654426581	0.61516522	0.519495422	0.0049781	0.693830913
30	0.670866101	0.818472303	0.786779685	0.96145314	0.005043085	0.693830913
35	1.037108472	0.887450526	0.907456241	0.96145314	0.005329704	0.879279702
40	1.037108472	0.887450526	0.952914656	0.96145314	0.005329704	0.754900703
45	1.037108472	0.851428009	1.079496711	0.761434609	0.005723232	0.915028672
50	1.072588479	1.018998131	1.079496711	1.115062057	0.005723232	1.083515302
55	1.07688513	1.018998131	0.863654342	1.115062057	0.005610804	1.083515302
60	1.07688513	1.018998131	1.09020565	1.115062057	0.004741539	1.091587186
65	1.080615414	1.022812119	1.09020565	1.116998967	0.004741539	1.095165631
70	1.079142022	1.020232526	1.0996524	1.116998967	0.004048194	1.092525549
75	1.079142022	1.020232526	1.0996524	1.11856605	0.004362503	1.094836437
80	1.078006566	1.018194434	1.0996524	1.113290532	0.004362503	1.094836437
85	1.078006566	1.018194434	1.09184638	1.113290532	0.004362503	0.73763011
90	1.073640993	1.017903381	1.09184638	1.107029766	0.003706923	1.090654552
95	0.884268016	1.01702482	1.09184638	0.922520192	0.003934072	1.090654552
100	1.066839916	1.01702482	0.931247556	1.105676904	0.003934072	1.090654552
105	1.066839916	0.864578449	1.081584845	1.105676904	0.008589887	1.076443095
110	1.066839916	0.864466681	1.081584845	1.101608905	0.008589887	1.076443095
115	0.928655014	1.022802134	1.082056595	1.098676942	0.009367529	1.076443095
120	1.064178095	1.022802134	1.075294489	1.098676942	0.009067215	1.074681855
125	1.064982001	1.02340774	1.077923429	1.098618485	0.009067215	1.075425677
130	1.063957466	1.024429833	1.081537831	1.097037544	0.009252695	1.075301627
135	1.063957466	1.024429833	1.079678733	1.097037544	0.010231806	1.075301627
140	1.069204376	1.026496453	1.079678733	1.09305707	0.012472489	1.074758667
145	1.069204376	1.026496453	1.081845383	1.097903017	0.010612217	1.074758667
150	1.071432758	0.82853586	1.082247255	1.097903017	0.009689804	1.075303387
155	1.073801683	0.848067108	1.082247255	1.097903017	0.005855499	1.075303387
160	1.074924832	1.025169297	0.955695379	1.101602344	0.005855499	1.076801382
165	0.92509524	1.025169297	0.865545926	1.101602344	0.006469601	0.892471509
170	1.080450761	1.022936828	1.080206826	1.101602344	0.00691277	1.079364333
175	1.084374146	1.022936828	1.07802884	0.936049365	0.00691277	1.079364333
180	1.084374146	1.022936828	1.07802884	1.110129591	0.005883598	1.079364333
185	1.088792585	0.842788503	1.082393762	1.110129591	0.006811129	0.878698171
190	1.091798834	1.020495522	1.082393762	1.118045631	0.008234537	1.08719315
195	1.091798834	1.020495522	1.089124073	1.118045631	0.008234537	1.08719315
200	1.094260886	1.01767596	1.089124073	1.114459785	0.006913472	0.927606839
205	1.082661741	1.019306023	1.092234443	1.118849435	0.006913472	1.0885581
210	1.082661741	1.019306023	0.918386573	1.118849435	0.005333948	1.0885581
215	1.076257748	1.019306023	1.099600782	1.114628668	0.005343498	1.0885581
220	1.076257748	1.027796583	0.941111656	0.909981733	0.006057357	1.088833685
225	1.076257748	1.027796583	1.09162297	1.108151768	0.006057357	1.083845523
230	0.907160375	1.033154806	1.093003597	1.108151768	0.004128318	1.078112395
235	1.064280731	1.033154806	1.093003597	0.974367837	0.004128318	1.078112395
240	1.062837631	1.028977459	0.875350148	1.1005683	0.004128318	1.074478423
245	1.062837631	1.028977459	1.08067327	1.1005683	0.006365034	1.074478423
250	0.918782918	1.032978036	1.08067327	1.101257841	0.006365034	1.073050415
255	1.066276716	1.03064979	1.072586863	0.941994544	0.006365034	1.073050415
260	1.066276716	1.03064979	1.074680479	1.098244356	0.005916266	1.073050415
265	0.93414057	1.023966315	1.075514922	1.098244356	0.005916266	0.659368909
270	1.066221601	1.023966315	1.075514922	1.098244356	0.005916266	1.070749192
275	0.929092703	1.023966315	1.077344993	1.099525807	0.005330502	1.070749192
280	0.924594383	0.680363947	1.077344993	1.099525807	0.005842795	1.073262746
285	1.071043577	1.026781894	1.080280015	1.094925873	0.007346514	1.075918537
290	1.074320743	1.026781894	1.068942511	1.096355819	0.006494388	1.075918537
295	1.074320743	0.973855293	1.068942511	1.096355819	0.006494388	0.915735188
300	1.075476456	0.953420644	1.068942511	1.098570741	0.005466471	0.87702855
