time	bullet_1_spark_process_records	bullet_1_kafka_produce_requests	standalone_1_spark_process_records	standalone_1_kafka_produce_requests
0	14738	14687.2	0	14858.64
5	14601.4	14671.22	0	14841.74
10	14601.4	14671.22	14674	14841.74
15	11722.2	14675.52755	14865	14817.72
20	11722.2	14675.52755	14798	14817.72
25	8750.3	14662	14798	14795.2
30	8750.3	14662	14687	14795.2
35	11557.5	14657.74	14687	14788.56
40	11557.5	14657.74	14817	14788.56
45	9401.1	14668.06	14817	14791.32
50	9401.1	14668.06	14797	14791.32
55	5164.5	14686.6	14797	14797.54
60	5164.5	14686.6	14851	14797.54
65	7110.4	14678.4	14851	14816.2
70	7110.4	14678.4	14833	14816.2
75	10783.2	14697.16	14833	14808.58
80	10783.2	14697.16	14800	14808.58
85	13417.7	14708.44	14800	14802.42
90	13417.7	14708.44	14700	14802.42
95	7015.2	14706.34698	14700	14795.44
100	7015.2	14706.34698	14778	14795.44
105	9211.1	14674.7	14778	14774.6
110	9211.1	14674.7	14796	14774.6
115	9745.6	14664.9	14796	14763.86
120	9745.6	14664.9	14774	14763.86
125	1263.294682	14658.44	14774	14792.56
130	1263.294682	14658.44	14812	14792.56
135	13044.77761	14648.08	14812	14792.86
140	13044.77761	14648.08	14848	14792.86
145	8502.352117	14655.46487	14848	14794.74
150	8502.352117	14655.46487	14798	14794.74
155	7649.520575	14680.34	14798	14802.34
160	7649.520575	14680.34	14774	14802.34
165	10216.65999	14684.24	14774	14802.18
170	10216.65999	14684.24	14813	14802.18
175	4860.527894	14690.06	14813	14774.82
180	4860.527894	14690.06	14765	14774.82
185	13916.18324	14702.08	14765	14778.98
190	13916.18324	14702.08	14732	14778.98
195	6229.1	14711.76	14732	14762.08
200	6229.1	14711.76	14751	14762.08
205	9094.952524	14711.3	14751	14753.08
210	9094.952524	14711.3	14729	14753.08
215	12132.56628	14711.8	14729	14753.06
220	12132.56628	14711.8	14759	14753.06
225	10805.3	14700.4	14759	14767.16
230	10805.3	14700.4	14828	14767.16
235	6311.7	14679.92	14828	14774.7
240	6311.7	14679.92	14790	14774.7
245	12165.8	14653.86	14790	14770.48
250	12165.8	14653.86	14742	14770.48
255	5081.5	14653.46	14742	14773
260	5081.5	14653.46	14738	14773
265	9761.6	14648.38	14738	14782.16
270	9761.6	14648.38	14776	14782.16
275	10084.7	14657.34	14776	14780.06
280	10084.7	14657.34	14849	14780.06
285	7050.3	14665.52	14849	14779
290	7050.3	14665.52	14773	14779
295	9195.2	14677.66	14773	14797.88
300	9195.2	14677.66	0	14797.88
