time	bullet_processing_time	standalone_processing_time
0	24	286
5	19	1988
10	19	1988
15	1251	1818
20	1251	1818
25	1984	1982
30	1984	1982
35	1505	1999
40	1505	1999
45	431	1997
50	431	1997
55	1251	1985
60	1251	1985
65	4251	1996
70	4251	1996
75	986	2031
80	986	2031
85	890	1994
90	890	1994
95	1528	1944
100	1528	1944
105	1211	2012
110	1211	2012
115	1556	1984
120	1556	1984
125	807	1977
130	807	1977
135	547	2009
140	547	2009
145	4038	1968
150	4038	1968
155	1209	1978
160	1209	1978
165	1018	2002
170	1018	2002
175	392	2000
180	392	2000
185	2265	1989
190	2265	1989
195	1982	2011
200	1982	2011
205	1233	1965
210	1233	1965
215	1733	1956
220	1733	1956
225	4807	2005
230	4807	2005
235	1477	2024
240	1477	2024
245	412	2003
250	412	2003
255	246	1972
260	246	1972
265	2099	2038
270	2099	2038
275	1222	1993
280	1222	1993
285	585	1989
290	585	1989
295	571	2012
300	571	2012
