time	bullet_2_spark_process_records	bullet_2_kafka_produce_requests	standalone_2_spark_process_records	standalone_2_kafka_produce_requests
0	14551.6	15633.54	0	15684.44311
5	16000.2	15642.06	0	15684.44311
10	16000.2	15642.06	8053.845605	15685.44
15	16001.7	15639.22	10806.92061	15685.44
20	16001.7	15639.22	9718.8	15684.04
25	15998.4	15647.36	9718.8	15684.04
30	15998.4	15647.36	9866.5	15688.08
35	9601.7	15661.26	9866.5	15688.08
40	9601.7	15661.26	10785.8	15684.21474
45	21214.8	15663.6	10785.8	15684.21474
50	21214.8	15663.6	13263.2	15678.17564
55	17279.3	15673.58	13263.2	15678.17564
60	17279.3	15673.58	9172.7	15679.06
65	9756.6	15679.34	9172.7	15679.06
70	9756.6	15679.34	13288	15686.45881
75	17255.9	15683.98	13288	15686.45881
80	17255.9	15683.98	9152	15671.54
85	14492.3	15676.12	9152	15671.54
90	14492.3	15676.12	13342.7	15679.0573
95	19900.6	15680.32	13342.7	15679.0573
100	19900.6	15680.32	9216.7	15675.4
105	19429.1	15681.06	9216.7	15675.4
110	19429.1	15681.06	11037.8	15681.53732
115	8672.3	15679.56	11037.8	15681.53732
120	8672.3	15679.56	11123.7	15661.97972
125	22360.8	15672.38	11123.7	15661.97972
130	22360.8	15672.38	13342.5	15684.42
135	16037	15673.36	13342.5	15684.42
140	16037	15673.36	9157	15679.04
145	9649.5	15674.68	9157	15679.04
150	9649.5	15674.68	13247.8	15674.12
155	15951.9	15682.88	13247.8	15674.12
160	15951.9	15682.88	9205.5	15673.54124
165	21769	15682.88	9205.5	15673.54124
170	21769	15682.88	10890.5	15681.38
175	16630.4	15685.18	10890.5	15681.38
180	16630.4	15685.18	11033.2	15675.24
185	16002.3	15687.62	11033.2	15675.24
190	16002.3	15687.62	10954.8	15683.52
195	9600.2	15694.06	10954.8	15683.52
200	9600.2	15694.06	13439.8	15672.4
205	17336.1	15687.88	13439.8	15672.4
210	17336.1	15687.88	11624.4	15684.4
215	12390.5	15698.82	11624.4	15684.4
220	12390.5	15698.82	11598	15691.62
225	24494.3	15688.78	11598	15691.62
230	24494.3	15688.78	9303	15693.98
235	9779.6	15676.72	9303	15693.98
240	9779.6	15676.72	13340.6	15686
245	19199	15672.38	13340.6	15686
250	19199	15672.38	11623.7	15713.16
255	19195.04149	15672.68	11623.7	15713.16
260	19195.04149	15672.68	11566	15685.1
265	16002.30069	15663.42	11566	15685.1
270	16002.30069	15663.42	9222	15684.32
275	9602.1	15683.7	9222	15684.32
280	9602.1	15683.7	11006.5	15683.46
285	16567.8	15692.98	11006.5	15683.46
290	16567.8	15692.98	10939.8	15679.6
295	20574.3	15693.58	10939.8	15679.6
300	20574.3	15693.58	0	15669.84
