"time","requests_per_sec_out"
"2021-08-03 02:10:02.026+00",0.11566442672470229
"2021-08-03 02:10:12.026+00",0.09790782344241003
"2021-08-03 02:10:22.026+00",0.08287718326781696
"2021-08-03 02:10:32.026+00",0.07015402104661723
"2021-08-03 02:10:42.026+00",0.05938409674355301
"2021-08-03 02:10:52.026+00",0.05026755264255386
"2021-08-03 02:11:02.026+00",0.04255056466689874
"2021-08-03 02:11:12.026+00",0.03601827537430607
"2021-08-03 02:11:22.026+00",0.03048881186642773
"2021-08-03 02:11:32.026+00",0.02580822205855917
"2021-08-03 02:11:42.031+00",0.021846188324489164
"2021-08-03 02:11:52.026+00",0.018492399175198782
"2021-08-03 02:12:02.026+00",0.015653477951188037
"2021-08-03 02:12:12.026+00",0.013250383016658847
"2021-08-03 02:12:22.026+00",0.011216207071402678
"2021-08-03 02:12:32.026+00",0.009494314308531242
"2021-08-03 02:12:42.026+00",0.008036763552539163
"2021-08-03 02:12:52.026+00",0.00680297347449137
"2021-08-03 02:13:02.026+00",0.00575859272107255
"2021-08-03 02:13:12.03+00",0.004874543499476027
"2021-08-03 02:13:22.026+00",0.004126211989490799
"2021-08-03 02:13:32.026+00",0.0034927630421285037
"2021-08-03 02:13:42.026+00",0.0029565600845351246
"2021-08-03 02:13:52.026+00",0.0025026740801000324
"2021-08-03 02:14:02.026+00",0.0021184678721621066
"2021-08-03 02:14:12.026+00",0.001793244338553129
"2021-08-03 02:14:22.026+00",0.0015179485608487811
"2021-08-03 02:14:32.026+00",0.0012849157160825016
"2021-08-03 02:14:42.026+00",0.0010876576716885747
"2021-08-03 02:14:52.026+00",0.000920682342021454
"2021-08-03 02:15:02.026+00",0.0007793407769506508
"2021-08-03 02:15:12.026+00",0.3204820392078576
"2021-08-03 02:15:22.026+00",1.0324806692600905
"2021-08-03 02:15:32.026+00",1.6351744977464588
"2021-08-03 02:15:42.026+00",2.145343809264528
"2021-08-03 02:15:52.026+00",2.5771928080646
"2021-08-03 02:16:02.026+00",2.9427450934611694
"2021-08-03 02:16:12.026+00",3.2521784225413644
"2021-08-03 02:16:22.026+00",3.5141080806798124
"2021-08-03 02:16:32.026+00",3.735826749500855
"2021-08-03 02:16:42.026+00",3.9235075507249415
"2021-08-03 02:16:52.026+00",4.082375919073959
"2021-08-03 02:17:02.026+00",4.216855089544594
"2021-08-03 02:17:12.026+00",4.330689249726435
"2021-08-03 02:17:22.026+00",4.427047785988633
"2021-08-03 02:17:32.026+00",4.5086135259717945
"2021-08-03 02:17:42.026+00",4.5776574342447205
"2021-08-03 02:17:52.026+00",4.636101840812776
"2021-08-03 02:18:02.026+00",4.685573962894711
"2021-08-03 02:18:12.026+00",4.727451210128628
"2021-08-03 02:18:22.026+00",4.762899534600864
"2021-08-03 02:18:32.026+00",4.792905893444605
"2021-08-03 02:18:42.031+00",4.818305727836341
"2021-08-03 02:18:52.026+00",4.839806223464194
"2021-08-03 02:19:02.026+00",4.8580060000892615
"2021-08-03 02:19:12.026+00",4.873411778399473
"2021-08-03 02:19:22.026+00",4.87173995024904
"2021-08-03 02:19:32.026+00",4.885037316220284
"2021-08-03 02:19:42.026+00",4.896293293504125
"2021-08-03 02:19:52.026+00",4.9058212725706785
"2021-08-03 02:20:02.026+00",4.913886532725658
"2021-08-03 02:20:12.026+00",4.920713628053337
"2021-08-03 02:20:22.026+00",4.16529415956734
"2021-08-03 02:20:32.028+00",3.5258453848673637
"2021-08-03 02:20:42.026+00",2.984563683080137
"2021-08-03 02:20:52.026+00",2.5263786144995586
"2021-08-03 02:21:02.026+00",2.138533327328346
"2021-08-03 02:21:12.026+00",1.8102293796529627
"2021-08-03 02:21:22.026+00",1.5323260877363063
"2021-08-03 02:21:32.026+00",1.2970860298419151
"2021-08-03 02:21:42.026+00",1.0979596198721029
"2021-08-03 02:21:52.026+00",0.9294027528895807
"2021-08-03 02:22:02.026+00",0.7867224453840574
"2021-08-03 02:22:12.026+00",0.665946172578859
"2021-08-03 02:22:22.026+00",0.5637112648488551
"2021-08-03 02:22:32.026+00",0.47717128380952867
"2021-08-03 02:22:42.026+00",0.4039167713873586
"2021-08-03 02:22:52.026+00",0.3419081653562192
"2021-08-03 02:23:02.026+00",0.2894190135649178
"2021-08-03 02:23:12.026+00",0.24498790581857166
"2021-08-03 02:23:22.026+00",0.20737778509464386
"2021-08-03 02:23:32.026+00",0.1755415052309092
"2021-08-03 02:23:42.026+00",0.14859267613775481
"2021-08-03 02:23:52.026+00",0.1257809848031991
"2021-08-03 02:24:02.026+00",0.1064713049746521
"2021-08-03 02:24:12.032+00",0.09012601388629814
"2021-08-03 02:24:22.026+00",0.07629002369198909
"2021-08-03 02:24:32.026+00",0.06457811084674074
"2021-08-03 02:24:42.026+00",0.05466419065972637
"2021-08-03 02:24:52.026+00",0.04627223839939458
"2021-08-03 02:25:02.026+00",0.03916860417486923
"2021-08-03 02:25:12.026+00",0.033155507623501015
"2021-08-03 02:25:22.026+00",0.028065531282765052
"2021-08-03 02:25:32.026+00",0.02375695933020645
"2021-08-03 02:25:42.026+00",0.020109831911989326
"2021-08-03 02:25:52.026+00",0.017022605204121043
"2021-08-03 02:26:02.026+00",0.014409324215316327
"2021-08-03 02:26:12.026+00",0.012197229616289058
"2021-08-03 02:26:22.026+00",0.010324731964483247
"2021-08-03 02:26:32.026+00",0.008739696922329038
"2021-08-03 02:26:42.026+00",0.007397993725834276
"2021-08-03 02:26:52.026+00",0.006262266489774139
"2021-08-03 02:27:02.026+00",0.005300894139988704
"2021-08-03 02:27:12.026+00",0.004487110015080187
"2021-08-03 02:27:22.026+00",0.003798256625339027
"2021-08-03 02:27:32.026+00",0.003215154819794183
"2021-08-03 02:27:42.026+00",0.0027215697976497514
"2021-08-03 02:27:52.026+00",0.0023037590967247617
"2021-08-03 02:28:02.026+00",0.0019500899739280193
"2021-08-03 02:28:12.026+00",0.0016507155248224826
"2021-08-03 02:28:22.026+00",0.0013973005247554504
"2021-08-03 02:28:32.026+00",0.001182789358385554
"2021-08-03 02:28:42.026+00",0.0010012095762684666
"2021-08-03 02:28:52.026+00",0.0008475056090967326
"2021-08-03 02:29:02.026+00",0.0007173980098426729
"2021-08-03 02:29:12.026+00",0.0006072643048047195
"2021-08-03 02:29:22.026+00",0.0005140381361955987
"2021-08-03 02:29:32.026+00",0.0004351238881864069
